1.000000000000000, 1.000000000000000, 1.000000000000000, 1.000000000000000, 4.402678829521189, 4.402678829521189, 4.402678829521189, 4.402678829521189, 5.175544387350499
1.000000000000000, 1.000000000000000, 1.000000000000000, 1.000000000000000, -0.7187096903919147, -0.7187096903919147, -0.7187096903919147, -0.7187096903919147, 1.672672690238986
1.000000000000000, 1.000000000000000, 1.000000000000000, 1.000000000000000, 0.3160308608707258, 0.3160308608707258, 0.3160308608707258, 0.3160308608707258, -1.848217077589485
1.000000000000000, -1.000000000000000, -1.000000000000000 I, 1.000000000000000 I, -1.618033988749895, 1.618033988749895,      -15
0. 10    + 1.618033988749895 I,      -15
0. 10    - 1.618033988749895 I, 0
1.000000000000000, -1.000000000000000, 1.000000000000000 I, -1.000000000000000 I, -1.618033988749895, 1.618033988749895,      -15
0. 10    - 1.618033988749895 I,      -15
0. 10    + 1.618033988749895 I, 0
1.000000000000000, 1.000000000000000, -1.000000000000000, -1.000000000000000, 0.6180339887498948, 0.6180339887498948, -0.6180339887498948, -0.6180339887498948, 0
1.000000000000000, -1.000000000000000, 1.000000000000000 I, -1.000000000000000 I, 0.6180339887498948, -0.6180339887498948,      -16
0. 10    + 0.6180339887498948 I,      -16
0. 10    - 0.6180339887498948 I, 0
1.000000000000000, -1.000000000000000, -1.000000000000000 I, 1.000000000000000 I, 0.6180339887498948, -0.6180339887498948,      -16
0. 10    - 0.6180339887498948 I,      -16
0. 10    + 0.6180339887498948 I, 0
1.000000000000000, 1.000000000000000, -1.000000000000000, -1.000000000000000, -1.618033988749895, -1.618033988749895, 1.618033988749895, 1.618033988749895, 0
