0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333
0.3333333333333333, 0.3333333333333333, 0.3333333333333333, -0.1666666666666667 - 0.2886751345948129 I, -0.1666666666666667 + 0.2886751345948129 I, -0.1666666666666667 - 0.2886751345948129 I, -0.1666666666666667 + 0.2886751345948129 I, -0.1666666666666667 + 0.2886751345948129 I, -0.1666666666666667 - 0.2886751345948129 I
0.3333333333333333, 0.3333333333333333, 0.3333333333333333, -0.1666666666666667 + 0.2886751345948129 I, -0.1666666666666667 - 0.2886751345948129 I, -0.1666666666666667 + 0.2886751345948129 I, -0.1666666666666667 - 0.2886751345948129 I, -0.1666666666666667 - 0.2886751345948129 I, -0.1666666666666667 + 0.2886751345948129 I
0.3333333333333333, -0.1666666666666667 - 0.2886751345948129 I, -0.1666666666666667 + 0.2886751345948129 I, -0.1666666666666667 - 0.2886751345948129 I, -0.1666666666666667 + 0.2886751345948129 I, -0.1666666666666667 + 0.2886751345948129 I, -0.1666666666666667 - 0.2886751345948129 I, 0.3333333333333333, 0.3333333333333333
0.3333333333333333, -0.1666666666666667 + 0.2886751345948129 I, -0.1666666666666667 - 0.2886751345948129 I, -0.1666666666666667 + 0.2886751345948129 I, -0.1666666666666667 - 0.2886751345948129 I, -0.1666666666666667 - 0.2886751345948129 I, -0.1666666666666667 + 0.2886751345948129 I, 0.3333333333333333, 0.3333333333333333
0.3333333333333333, -0.1666666666666667 - 0.2886751345948129 I, -0.1666666666666667 + 0.2886751345948129 I, -0.1666666666666667 + 0.2886751345948129 I, -0.1666666666666667 - 0.2886751345948129 I, 0.3333333333333333, 0.3333333333333333, -0.1666666666666667 + 0.2886751345948129 I, -0.1666666666666667 - 0.2886751345948129 I
0.3333333333333333, -0.1666666666666667 + 0.2886751345948129 I, -0.1666666666666667 - 0.2886751345948129 I, -0.1666666666666667 - 0.2886751345948129 I, -0.1666666666666667 + 0.2886751345948129 I, 0.3333333333333333, 0.3333333333333333, -0.1666666666666667 - 0.2886751345948129 I, -0.1666666666666667 + 0.2886751345948129 I
0.3333333333333333, -0.1666666666666667 + 0.2886751345948129 I, -0.1666666666666667 - 0.2886751345948129 I, 0.3333333333333333, 0.3333333333333333, -0.1666666666666667 + 0.2886751345948129 I, -0.1666666666666667 - 0.2886751345948129 I, -0.1666666666666667 + 0.2886751345948129 I, -0.1666666666666667 - 0.2886751345948129 I
0.3333333333333333, -0.1666666666666667 - 0.2886751345948129 I, -0.1666666666666667 + 0.2886751345948129 I, 0.3333333333333333, 0.3333333333333333, -0.1666666666666667 - 0.2886751345948129 I, -0.1666666666666667 + 0.2886751345948129 I, -0.1666666666666667 - 0.2886751345948129 I, -0.1666666666666667 + 0.2886751345948129 I
